time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.4,1,-0.00334734,0.97091,-0,35.8836,7291.04,0.10881
0.4,2,-0.135116,0.897597,0.5,35.5904,12596.9,0.108289
0.4,3,-0.455973,0.799052,2.5,35.1962,10666.6,0.107297
0.9,1,-0.0526213,0.952179,0.5,35.8087,10900.6,0.10881
0.9,2,-0.0784186,0.817621,0.5,35.2705,11753,0.108289
0.9,3,-0.213933,0.652206,1,34.6088,10348.3,0.107297
1.4,1,-0.0550013,0.952302,0.5,35.8092,10842.2,0.10881
1.4,2,-0.0797181,0.817507,0.5,35.27,11989.7,0.108289
1.4,3,-0.211626,0.6522,1,34.6088,10403.5,0.107297
1.9,1,-0.0567703,0.952392,0.5,35.8096,10973.8,0.10881
1.9,2,-0.0797244,0.817506,0.5,35.27,12037.7,0.108289
1.9,3,-0.213929,0.652206,1,34.6088,10348.4,0.107297
2.4,1,-0.0580842,0.95246,0.5,35.8098,10951.5,0.10881
2.4,2,-0.0807358,0.817437,0.5,35.2697,11959,0.108289
2.4,3,-0.213939,0.652206,1,34.6088,10348.2,0.107297
2.9,1,-0.050548,0.952073,0.5,35.8083,10906.5,0.10881
2.9,2,-0.0784456,0.817616,0.5,35.2705,11900.9,0.108289
2.9,3,-0.212595,0.652202,1,34.6088,10380.4,0.107297
3.4,1,-0.0458076,0.951852,-0,35.8074,10766.6,0.10881
3.4,2,-0.0816381,0.817375,0.5,35.2695,12185.9,0.108289
3.4,3,-0.213943,0.652206,1,34.6088,10348.1,0.107297
3.9,1,-0.0467735,0.951882,-0,35.8075,10913.8,0.10881
3.9,2,-0.0791626,0.817545,0.5,35.2702,12027.8,0.108289
3.9,3,-0.213939,0.652206,1,34.6088,10348.2,0.107297
4.4,1,-0.0644371,0.95272,0.5,35.8109,11270,0.10881
4.4,2,-0.0802135,0.817473,0.5,35.2699,12057.9,0.108289
4.4,3,-0.212592,0.652202,1,34.6088,10380.5,0.107297
4.9,1,-0.0651768,0.952714,0.5,35.8109,11311.1,0.10881
4.9,2,-0.0661011,0.820155,0.5,35.2806,11535.4,0.108289
4.9,3,-0.199418,0.652176,1,34.6087,10694.2,0.107297
5.4,1,-0.0647326,0.952717,0.5,35.8109,11203.4,0.10881
5.4,2,-0.0651844,0.820355,0.5,35.2814,11469.8,0.108289
5.4,3,-0.199425,0.652176,1,34.6087,10694,0.107297
5.9,1,-0.0605909,0.952588,0.5,35.8104,11142.2,0.10881
5.9,2,-0.063697,0.820679,0.5,35.2827,11605.5,0.108289
5.9,3,-0.185191,0.652297,1,34.6092,11029.8,0.107297
6.4,1,-0.0689891,0.952684,0.5,35.8107,11298,0.10881
6.4,2,-0.0660595,0.820164,0.5,35.2807,11651.6,0.108289
6.4,3,-0.19805,0.652186,1,34.6087,10727.1,0.107297
6.9,1,-0.0675736,0.952695,0.5,35.8108,11237.1,0.10881
6.9,2,-0.0660595,0.820164,0.5,35.2807,11712.4,0.108289
6.9,3,-0.199099,0.652178,1,34.6087,10701.8,0.107297
7.4,1,-0.067306,0.952697,0.5,35.8108,11247.7,0.10881
7.4,2,-0.0665021,0.820067,0.5,35.2803,11580,0.108289
7.4,3,-0.202429,0.652173,1,34.6087,10622.2,0.107297
7.9,1,-0.0641379,0.952722,0.5,35.8109,11199.9,0.10881
7.9,2,-0.0548925,0.821715,0.5,35.2869,11139.9,0.108289
7.9,3,-0.201371,0.65217,1,34.6087,10455.3,0.107297
8.4,1,-0.0650504,0.952715,0.5,35.8109,11150.6,0.10881
8.4,2,-0.0578856,0.821498,0.5,35.286,11425,0.108289
8.4,3,-0.201368,0.65217,1,34.6087,10455.4,0.107297
8.9,1,-0.0635524,0.952726,0.5,35.8109,11151.1,0.10881
8.9,2,-0.0617682,0.821048,0.5,35.2842,11603.1,0.108289
8.9,3,-0.190575,0.652239,1,34.609,10715,0.107297
9.4,1,-0.0620247,0.952661,0.5,35.8106,11182.9,0.10881
9.4,2,-0.0564127,0.821646,0.5,35.2866,11269.8,0.108289
9.4,3,-0.190575,0.652239,1,34.609,10715.1,0.107297
9.9,1,-0.0635543,0.952726,0.5,35.8109,11197,0.10881
9.9,2,-0.0570398,0.821583,0.5,35.2863,11214.6,0.108289
9.9,3,-0.188125,0.652265,1,34.6091,10768,0.107297
10.4,1,-0.0524462,0.95217,0.5,35.8087,10851.4,0.10881
10.4,2,-0.0586537,0.82142,0.5,35.2857,11054.2,0.108289
10.4,3,-0.210666,0.652197,1,34.6088,10234.2,0.107297
10.9,1,-0.0501433,0.952052,0.5,35.8082,10848.4,0.10881
10.9,2,-0.0654448,0.820298,0.5,35.2812,11473,0.108289
10.9,3,-0.212337,0.652202,1,34.6088,10194.6,0.107297
11.4,1,-0.0524462,0.95217,0.5,35.8087,10807.1,0.10881
11.4,2,-0.065437,0.8203,0.5,35.2812,11636.6,0.108289
11.4,3,-0.212337,0.652202,1,34.6088,10194.4,0.107297
11.9,1,-0.0550324,0.952303,0.5,35.8092,10616.5,0.10881
11.9,2,-0.0654344,0.820301,0.5,35.2812,11613.2,0.108289
11.9,3,-0.211284,0.652199,1,34.6088,10219.5,0.107297
12.4,1,-0.056883,0.952398,0.5,35.8096,10811.2,0.10881
12.4,2,-0.0649553,0.820405,0.5,35.2816,11364.3,0.108289
12.4,3,-0.210666,0.652197,1,34.6088,10234.4,0.107297
12.9,1,-0.0538231,0.952241,0.5,35.809,10634.6,0.10881
12.9,2,-0.0645176,0.8205,0.5,35.282,11221.1,0.108289
12.9,3,-0.212575,0.652202,1,34.6088,10185.8,0.107297
13.4,1,-0.0474314,0.951912,-0,35.8076,10550.2,0.10881
