time_s,srcCellId,neighborCellId,cio_display_dB,cio_display_ie
0.4,1,2,-0,0
0.4,1,3,-0,0
0.4,2,1,0.5,1
0.4,2,3,0.5,1
0.4,3,1,2.5,5
0.4,3,2,2.5,5
0.9,1,2,-0,0
0.9,1,3,-0,0
0.9,2,1,-0,0
0.9,2,3,-0,0
0.9,3,1,0.5,1
0.9,3,2,0.5,1
1.4,1,2,-0,0
1.4,1,3,-0,0
1.4,2,1,-0,0
1.4,2,3,-0,0
1.4,3,1,0.5,1
1.4,3,2,0.5,1
1.9,1,2,-0.5,-1
1.9,1,3,-0.5,-1
1.9,2,1,-0,0
1.9,2,3,-0,0
1.9,3,1,0.5,1
1.9,3,2,0.5,1
2.4,1,2,-0.5,-1
2.4,1,3,-0.5,-1
2.4,2,1,-0,0
2.4,2,3,-0,0
2.4,3,1,0.5,1
2.4,3,2,0.5,1
2.9,1,2,-0.5,-1
2.9,1,3,-0.5,-1
2.9,2,1,-0,0
2.9,2,3,-0,0
2.9,3,1,0.5,1
2.9,3,2,0.5,1
3.4,1,2,-0.5,-1
3.4,1,3,-0.5,-1
3.4,2,1,-0,0
3.4,2,3,-0,0
3.4,3,1,0.5,1
3.4,3,2,0.5,1
3.9,1,2,-0.5,-1
3.9,1,3,-0.5,-1
3.9,2,1,-0,0
3.9,2,3,-0,0
3.9,3,1,0.5,1
3.9,3,2,0.5,1
4.4,1,2,-0.5,-1
4.4,1,3,-0.5,-1
4.4,2,1,-0,0
4.4,2,3,-0,0
4.4,3,1,0.5,1
4.4,3,2,0.5,1
4.9,1,2,-0,0
4.9,1,3,-0,0
4.9,2,1,-0,0
4.9,2,3,-0,0
4.9,3,1,0.5,1
4.9,3,2,0.5,1
5.4,1,2,-0,0
5.4,1,3,-0,0
5.4,2,1,-0,0
5.4,2,3,-0,0
5.4,3,1,0.5,1
5.4,3,2,0.5,1
5.9,1,2,-0,0
5.9,1,3,-0,0
5.9,2,1,-0,0
5.9,2,3,-0,0
5.9,3,1,0.5,1
5.9,3,2,0.5,1
6.4,1,2,-0,0
6.4,1,3,-0,0
6.4,2,1,-0,0
6.4,2,3,-0,0
6.4,3,1,0.5,1
6.4,3,2,0.5,1
6.9,1,2,-0,0
6.9,1,3,-0,0
6.9,2,1,-0,0
6.9,2,3,-0,0
6.9,3,1,0.5,1
6.9,3,2,0.5,1
7.4,1,2,-0,0
7.4,1,3,-0,0
7.4,2,1,-0,0
7.4,2,3,-0,0
7.4,3,1,0.5,1
7.4,3,2,0.5,1
7.9,1,2,-0,0
7.9,1,3,-0,0
7.9,2,1,-0,0
7.9,2,3,-0,0
7.9,3,1,0.5,1
7.9,3,2,0.5,1
8.4,1,2,-0,0
8.4,1,3,-0,0
8.4,2,1,-0,0
8.4,2,3,-0,0
8.4,3,1,0.5,1
8.4,3,2,0.5,1
8.9,1,2,-0,0
8.9,1,3,-0,0
8.9,2,1,-0,0
8.9,2,3,-0,0
8.9,3,1,0.5,1
8.9,3,2,0.5,1
9.4,1,2,-0,0
9.4,1,3,-0,0
9.4,2,1,-0,0
9.4,2,3,-0,0
9.4,3,1,0.5,1
9.4,3,2,0.5,1
9.9,1,2,-0,0
9.9,1,3,-0,0
9.9,2,1,-0,0
9.9,2,3,-0,0
9.9,3,1,0.5,1
9.9,3,2,0.5,1
10.4,1,2,-0,0
10.4,1,3,-0,0
10.4,2,1,-0,0
10.4,2,3,-0,0
10.4,3,1,0.5,1
10.4,3,2,0.5,1
10.9,1,2,-0,0
10.9,1,3,-0,0
10.9,2,1,-0,0
10.9,2,3,-0,0
10.9,3,1,0.5,1
10.9,3,2,0.5,1
11.4,1,2,-0,0
11.4,1,3,-0,0
11.4,2,1,-0,0
11.4,2,3,-0,0
11.4,3,1,0.5,1
11.4,3,2,0.5,1
11.9,1,2,-0,0
11.9,1,3,-0,0
11.9,2,1,-0,0
11.9,2,3,-0,0
11.9,3,1,0.5,1
11.9,3,2,0.5,1
12.4,1,2,-0.5,-1
12.4,1,3,-0.5,-1
12.4,2,1,-0,0
12.4,2,3,-0,0
12.4,3,1,0.5,1
12.4,3,2,0.5,1
12.9,1,2,-0,0
12.9,1,3,-0,0
12.9,2,1,-0,0
12.9,2,3,-0,0
12.9,3,1,0.5,1
12.9,3,2,0.5,1
13.4,1,2,-0,0
13.4,1,3,-0,0
13.4,2,1,-0,0
13.4,2,3,-0,0
13.4,3,1,0.5,1
13.4,3,2,0.5,1
13.9,1,2,-0,0
13.9,1,3,-0,0
13.9,2,1,-0,0
13.9,2,3,-0,0
13.9,3,1,0.5,1
13.9,3,2,0.5,1
14.4,1,2,-0,0
14.4,1,3,-0,0
14.4,2,1,0.5,1
14.4,2,3,0.5,1
14.4,3,1,0.5,1
14.4,3,2,0.5,1
14.9,1,2,-0,0
14.9,1,3,-0,0
14.9,2,1,-0,0
14.9,2,3,-0,0
14.9,3,1,0.5,1
14.9,3,2,0.5,1
15.4,1,2,-0.5,-1
15.4,1,3,-0.5,-1
15.4,2,1,-0,0
15.4,2,3,-0,0
15.4,3,1,0.5,1
15.4,3,2,0.5,1
15.9,1,2,-0,0
15.9,1,3,-0,0
15.9,2,1,-0,0
15.9,2,3,-0,0
15.9,3,1,0.5,1
15.9,3,2,0.5,1
16.4,1,2,-0,0
16.4,1,3,-0,0
16.4,2,1,-0,0
16.4,2,3,-0,0
16.4,3,1,0.5,1
16.4,3,2,0.5,1
16.9,1,2,-0,0
16.9,1,3,-0,0
16.9,2,1,-0,0
