time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
3,1,11,1,8395.73,4624.88,6.45455,35,0.64
3,2,13,0,5718.5,5100.37,5,33,0.64
3,3,6,4,6610.53,3006.1,5.42857,29,0.64
5.5,1,16,2,7583.84,4805.28,6,34,0.64
5.5,2,8,6,4397.2,4315.47,4.125,29,0.64
5.5,3,6,3,7269.52,1209.14,7,28,0.64
8,1,20,11,9728.35,4725.74,6.14286,35,0.64
8,2,6,9,3709.46,2951.58,2.7,28,0.64
8,3,4,2,5169.81,3243.97,5,29,0.64
10.5,1,17,1,7774.61,4831.44,6.18182,35,0.64
10.5,2,7,6,3765.26,3395.41,3.28571,28,0.64
10.5,3,6,1,6937.86,1569.2,7,28,0.64
13,1,12,2,9252.53,4528.9,7.33333,35,0.64
13,2,7,5,5359.84,4299.28,4.57143,31,0.64
13,3,11,6,4724.38,2973.25,3.25,29,0.64
15.5,1,16,6,8872.67,4072.13,5.8125,35,0.64
15.5,2,7,5,4567.89,2625.38,4.42857,30,0.64
15.5,3,7,3,4577.73,1426.88,2.5,28,0.64
18,1,16,5,6969.57,4970.54,5.07143,35,0.6336
18,2,6,9,6157.41,3218.19,4.58333,33,0.6016
18,3,8,3,5079.98,1298.7,4.5,28,0.6272
20.5,1,15,1,8564.13,2796,6.18182,35,0.64
20.5,2,9,8,3629.28,4119.02,3.11111,29,0.64
20.5,3,6,6,6160.37,2087.74,5.57143,28,0.64
23,1,15,1,8193.49,3191.97,7.90909,35,0.6144
23,2,7,6,3067.57,2936.8,3.5,28,0.64
23,3,8,1,5001.47,1468.46,5.5,31,0.64
25.5,1,16,6,9777.28,2007.97,6.5,35,0.64
25.5,2,6,8,3116.83,2457.23,3.125,29,0.6272
25.5,3,8,5,5082.45,3060.24,3.77778,32,0.64
28,1,13,0,8759.42,2302.53,8.2,35,0.64
28,2,12,4,4153.46,5464.78,2.9,34,0.64
28,3,5,3,4612.93,2495.68,2.75,28,0.64
30.5,1,19,11,9169.49,2327.42,6.15789,35,0.6144
30.5,2,5,10,2876.61,4597.01,2.5,30,0.64
30.5,3,6,3,4861.97,1131.92,3.5,28,0.64
33,1,13,9,7762.85,3451.87,4.46667,34,0.64
33,2,8,9,4347.1,4573.84,4.33333,28,0.64
33,3,9,1,4888.05,4150.53,5,29,0.64
35.5,1,12,0,8111.89,3426.02,7,35,0.64
35.5,2,11,6,2128.3,2980.7,1.16667,30,0.6272
35.5,3,7,4,7615.46,1980.19,6.71429,31,0.6208
38,1,14,4,8135.44,2856.8,6.09091,35,0.64
38,2,11,4,3529.31,4608.1,1.54545,34,0.64
38,3,5,6,6898.08,2196.69,6.28571,28,0.64
40.5,1,13,4,9253.86,2711.73,8.09091,35,0.64
40.5,2,10,5,2033.44,3871.02,2.4,28,0.64
40.5,3,7,3,6203.97,2493.58,4.75,28,0.64
43,1,8,0,6248.98,3456.22,6.16667,35,0.64
43,2,14,2,3491.65,4497.38,1.75,35,0.64
43,3,8,5,8470.72,3023.23,6,31,0.6208
45.5,1,7,14,8122.26,2088.48,3.33333,31,0.64
45.5,2,11,11,2105.09,2923.26,1.81818,28,0.64
45.5,3,12,3,8122.37,2450.05,6.11111,33,0.64
48,1,13,3,8329.68,2588.45,6.8,35,0.64
48,2,9,11,2164.16,4114.19,2.36364,28,0.64
48,3,8,5,6788.58,3181.07,5.125,30,0.64
50.5,1,13,6,8465.25,2594.75,5.07143,35,0.64
50.5,2,11,6,3336.96,3539.01,3.5,29,0.64
50.5,3,6,4,5663.6,3330.61,3.28571,30,0.64
53,1,14,3,9292.93,3385.12,7.09091,35,0.6144
53,2,11,10,3260.94,5301.41,3.5,29,0.64
53,3,5,1,5482.67,2854.05,5.66667,28,0.64
55.5,1,12,3,8258.18,3341.18,6,35,0.6272
55.5,2,10,11,5530.35,3536.22,5.54545,29,0.64
55.5,3,8,4,4922.83,3105.54,3,29,0.64
58,1,12,10,8667.39,4147.2,4.77778,35,0.64
58,2,9,7,5101.17,4305.78,2.75,34,0.64
58,3,9,6,5142.13,2874.62,2.25,28,0.64
